session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
67,270,93,140,291,140,7,7,455,93,93,33
68,140,140,46,168,93,190,198,93,140,93,33
69,190,198,140,46,168,93,168,46,4,455,33
70,7,140,218,585,218,218,218,218,50,1,33
71,1,95,4,110,21,1,7,4,4,7,33
72,39,21,1,4,1,1,30,34,63,34,33
73,78,38,66,88,55,66,88,58,90,10,33
74,88,90,49,30,10,3,10,17,18,87,33
75,58,118,103,30,55,71,5,464,39,10,33
76,446,464,587,682,429,73,17,14,446,429,33
77,5,10,14,17,22,3,121,17,30,17,33
78,38,78,63,103,10,55,87,146,55,71,33
79,10,3,18,30,96,3,5,17,3,10,33
80,14,24,79,5,96,24,60,75,44,17,33
81,79,44,12,24,96,5,60,24,44,17,33
82,79,24,12,24,24,44,53,97,17,53,33
83,83,96,5,17,16,79,51,106,24,24,33
84,17,24,44,12,86,51,53,106,83,16,33
85,3,22,418,38,24,142,75,142,38,5,33
86,17,5,12,24,24,125,3,51,339,56,33
87,76,95,4,110,21,39,21,4,296,25,33
88,25,7,4,56,1,76,1,7,25,1,33
89,1,4,1,25,1,1,1,1,169,1,33
90,1,1,205,104,104,1,104,490,374,104,33
91,104,1,1,23,21,4,23,94,23,1,33
92,1,1,1,1,102,102,194,21,202,207,33
93,102,202,352,202,102,202,194,102,207,207,33
94,1,192,1,192,4,192,192,192,1,192,33
95,1,351,1,351,351,1,246,268,268,246,33
96,4,3,268,268,23,4,4,23,4,23,33
97,4,23,25,25,25,63,34,78,30,63,33
98,38,34,38,66,34,182,90,58,87,49,33
99,90,87,30,58,22,18,10,3,118,34,33
100,30,10,71,3,10,98,71,3,98,98,33
101,98,14,10,73,14,5,96,17,17,44,33
102,44,17,16,17,24,79,75,12,24,44,33
103,60,24,12,12,53,97,17,53,51,86,33
104,51,98,16,23,4,23,23,23,23,23,33
105,23,23,83,24,24,23,4,106,53,38,33
106,23,4,5,5,4,23,23,12,24,4,33
107,23,23,38,23,4,23,4,23,23,4,33
108,125,24,23,4,60,23,4,23,23,12,33
109,24,33,12,4,23,4,23,23,4,23,33
110,23,23,4,23,4,23,33,23,23,4,33
111,23,4,1,12,24,33,24,1,23,4,33
112,23,4,23,23,652,12,33,24,23,4,33
113,23,23,4,23,4,23,4,23,1,5,33
114,5,12,24,24,1,1,271,21,49,454,33
115,271,22,3,18,21,23,4,4,23,94,33
116,23,271,18,3,22,12,24,33,271,18,33
117,3,22,4,23,21,94,23,94,23,23,33
118,23,23,23,23,23,23,21,4,94,23,33
119,23,24,33,12,4,21,23,94,4,23,33
120,23,23,4,21,23,94,23,24,12,12,33
121,24,23,23,4,21,94,23,33,12,24,33
122,4,21,23,94,23,23,12,24,33,4,33
123,23,21,94,23,23,4,21,23,94,23,33
124,23,4,94,21,23,33,12,24,24,33,33
125,12,33,24,12,33,94,4,21,23,94,33
126,23,23,12,24,33,21,4,23,23,4,33
127,94,23,38,5,12,51,24,75,12,75,33
128,24,95,4,110,21,21,39,1,1,4,33
129,7,4,7,1,1,521,21,521,594,1,33
130,4,1,595,568,148,282,80,80,498,444,33
131,3,506,408,524,382,21,401,80,488,412,33
132,408,444,662,3,488,506,498,412,401,4,33
133,176,10,382,1,80,14,3,348,80,50,33
134,80,4,14,176,80,3,1,80,3,4,33
135,1,348,148,80,80,1,4,1,176,3,33
136,80,3,14,1,34,30,4,34,63,78,33
137,55,90,30,58,38,34,66,63,348,87,33
138,30,10,88,71,90,49,58,3,22,71,33
139,118,49,18,88,17,88,10,3,30,3,33
140,55,80,80,56,80,176,3,4,1,80,33
141,3,80,80,14,176,4,1,3,80,3,33
142,80,80,176,3,4,1,80,282,14,80,33
143,282,80,80,103,4,3,176,3,80,1,33
144,5,14,96,17,17,44,55,44,17,17,33
145,79,75,24,12,24,44,60,12,1,53,33
146,97,24,17,53,86,51,51,83,24,1,33
147,53,24,1,591,24,1,1,567,1,106,33
148,1,1,38,5,5,12,24,38,50,33,33
149,24,24,12,12,24,33,24,4,1,82,33
150,1,82,1,433,21,82,333,333,18,212,33
151,496,49,82,22,316,493,116,391,33,12,33
152,24,1,1,33,5,5,38,12,24,12,33
153,33,459,95,4,110,21,21,39,4,1,33
154,4,7,1,1,4,7,56,76,50,1,33
155,1,19,19,1,8,6,8,6,6,6,33
156,8,19,6,6,8,19,9,11,6,6,33
157,11,9,11,8,19,9,11,6,6,8,33
158,9,11,9,19,6,8,11,11,6,8,33
159,9,6,9,19,11,6,8,9,11,9,33
160,8,19,11,6,6,11,6,8,9,8,33
161,6,11,9,9,9,19,11,8,6,9,33
162,8,6,11,9,19,8,8,11,9,8,33
163,9,8,6,11,9,19,8,6,6,11,33
164,9,8,9,19,6,8,11,9,9,6,33
165,8,9,11,6,8,9,11,19,6,8,33
166,9,11,11,8,6,19,9,11,11,9,33
167,8,6,19,6,11,9,6,11,8,19,33
168,9,6,8,9,11,11,6,19,9,8,33
169,11,9,9,9,19,8,11,6,11,9,33
170,9,11,6,11,6,8,6,19,9,11,33
171,8,9,6,9,9,11,19,6,8,8,33
172,6,9,11,9,8,19,9,6,9,6,33
173,8,11,6,11,19,9,8,8,9,6,33
174,8,9,19,11,6,8,6,9,8,11,33
175,8,11,6,6,9,19,6,8,11,9,33
176,11,8,6,8,19,9,6,8,9,6,33
177,11,19,19,11,6,9,8,11,6,9,33
178,11,6,9,19,8,11,19,6,8,9,33
179,11,9,19,6,11,8,11,9,8,6,33
180,8,9,11,6,6,9,11,19,8,9,33
181,9,19,11,8,6,11,9,6,8,8,33
182,11,9,19,6,11,9,6,8,19,19,33
183,6,11,8,9,6,9,11,8,11,6,33
184,8,9,11,9,11,19,8,6,6,8,33
185,9,6,11,19,8,4,1,1,1,1,33
186,1,606,614,616,608,50,95,4,21,110,33
187,21,39,4,1,4,7,1,7,4,1,33
188,30,1,34,34,38,63,78,66,182,90,33
189,34,49,10,22,58,66,18,30,10,71,33
190,30,3,87,118,103,17,73,10,71,3,33
191,5,30,96,39,17,14,98,17,44,73,33
192,98,98,44,17,17,98,79,75,24,12,33
193,14,10,24,44,16,60,12,53,98,97,33
194,12,17,51,83,53,106,86,53,24,39,33
195,24,1,1,16,50,24,24,12,1,76,33
196,56,16,39,12,24,98,24,12,33,39,33
197,141,353,141,125,33,12,24,141,33,33,33
198,33,33,33,33,39,125,33,75,12,141,33
199,33,33,50,12,33,24,33,95,21,4,33
200,39,21,50,50,56,169,95,4,21,116,33
201,110,21,39,4,1,4,7,7,4,1,33
202,39,229,76,56,50,39,1,4,4,1,33
203,1,311,1,311,153,153,311,165,153,165,33
204,153,165,165,153,153,165,165,153,165,153,33
205,165,153,1,131,1,131,119,131,542,119,33
206,264,264,119,119,119,131,131,119,131,418,33
207,131,131,119,131,131,131,131,119,119,264,33
208,1,119,1,34,63,30,90,78,34,63,33
209,38,66,58,182,87,30,18,3,87,49,33
210,10,58,22,30,118,17,103,3,30,71,33
211,3,71,10,14,5,96,73,39,17,17,33
212,98,44,44,14,17,17,79,24,12,24,33
213,44,75,60,12,12,53,97,24,17,53,33
214,51,83,51,86,106,53,24,10,141,353,33
215,39,141,141,125,12,24,141,12,24,24,33
216,60,95,4,21,39,21,1,1,7,4,33
217,1,7,4,1,1,437,437,127,127,39,33
218,127,127,127,127,127,457,312,422,15,15,33
219,15,127,15,15,15,15,15,15,15,15,33
220,15,15,15,15,15,127,127,15,56,15,33
221,15,15,15,15,15,15,15,15,15,15,33
222,15,15,15,15,15,15,15,15,15,50,33
223,15,15,15,15,15,15,15,15,15,15,33
224,15,15,15,15,15,15,15,15,15,15,33
225,15,15,15,15,15,15,15,15,15,15,33
226,15,15,15,15,15,15,15,15,15,15,33
227,15,15,15,15,15,15,15,15,15,127,33
228,15,15,15,15,15,15,15,15,15,15,33
229,15,15,15,15,15,15,15,15,15,15,33
230,15,15,15,15,15,15,15,15,15,15,33
231,15,15,15,15,15,15,15,15,15,15,33
232,15,15,15,15,422,15,15,15,15,15,33
233,312,15,457,312,15,15,15,127,25,296,33
234,25,25,25,298,298,298,25,200,200,200,33
235,200,25,200,200,220,62,220,25,21,21,33
236,62,220,62,283,21,358,358,358,62,62,33
237,62,283,220,62,283,62,62,62,62,62,33
238,62,62,62,62,62,62,62,62,62,62,33
239,62,62,62,62,62,62,62,62,62,62,33
240,62,62,62,62,25,25,25,50,258,258,33
241,512,39,25,19,25,8,19,8,6,8,33
242,40,8,19,40,6,8,6,8,8,6,33
243,6,40,8,6,19,8,6,6,8,19,33
244,28,6,29,19,8,28,29,6,8,28,33
245,29,29,29,28,40,19,6,8,29,28,33
246,28,8,29,28,19,8,6,29,40,6,33
247,8,6,19,40,6,8,8,19,40,6,33
248,6,40,8,19,6,8,8,40,6,19,33
249,9,11,9,11,9,11,11,9,19,40,33
250,8,6,11,9,6,8,40,9,11,19,33
251,11,9,19,40,6,8,9,6,9,11,33
252,8,6,19,40,8,9,6,11,6,9,33
253,11,9,8,19,40,6,9,8,11,6,33
254,6,40,8,11,9,9,19,6,6,11,33
255,8,9,19,40,6,11,19,40,9,11,33
256,8,19,28,29,8,6,150,11,28,6,33
257,11,28,8,9,29,150,19,40,8,40,33
258,150,6,9,19,28,8,29,11,8,28,33
259,9,11,19,40,19,9,6,29,11,28,33
260,8,6,29,9,11,40,29,19,6,8,33
261,9,11,40,19,28,29,28,6,40,28,33
262,19,29,8,11,6,8,19,40,28,8,33
263,8,9,28,11,6,29,9,8,28,8,33
264,9,150,11,8,28,29,19,40,11,9,33
265,28,11,29,11,9,8,6,40,28,19,33
266,11,9,6,29,8,28,29,6,19,29,33
267,8,11,9,40,28,6,11,8,9,40,33
268,6,6,8,19,11,9,11,9,6,8,33
269,11,11,40,9,6,40,19,11,6,8,33
270,9,8,11,19,9,40,6,9,40,11,33
271,8,19,6,6,11,9,8,40,9,11,33
272,8,6,11,9,11,9,40,6,8,6,33
273,11,9,19,6,11,8,9,8,8,40,33
274,6,9,11,8,6,11,9,19,11,8,33
275,9,6,9,9,6,9,9,11,40,6,33
276,19,8,9,11,8,9,6,11,8,9,33
277,11,8,28,6,28,8,8,28,8,6,33
278,40,150,19,29,28,8,40,19,9,6,33
279,28,29,8,11,9,6,29,28,8,19,33
280,11,29,6,28,28,29,11,9,6,29,33
281,40,28,8,28,8,11,9,6,29,29,33
282,6,8,29,6,9,11,9,29,28,150,33
283,9,28,8,40,6,19,11,9,28,29,33
284,6,8,40,150,19,9,29,28,28,29,33
285,8,6,150,28,9,8,6,29,9,40,33
286,11,19,6,11,9,8,28,29,8,40,33
287,29,28,6,11,8,6,11,9,19,8,33
288,29,11,9,6,28,6,11,29,9,8,33
289,8,28,6,29,40,9,11,6,8,8,33
290,11,6,9,19,28,28,29,9,6,8,33
291,11,8,28,40,29,6,9,28,8,6,33
292,9,11,19,29,8,6,28,29,11,9,33
293,28,40,11,6,8,29,9,9,11,11,33
294,11,9,9,28,8,28,29,11,40,19,33
295,40,9,11,9,6,11,29,28,19,40,33
296,8,11,6,9,8,9,11,6,8,6,33
297,8,19,28,29,8,6,40,29,28,29,33
298,11,28,9,6,6,40,28,29,9,11,33
299,8,8,6,11,9,19,9,29,11,8,33
300,6,28,6,9,11,29,6,28,11,8,33
301,29,6,11,40,29,28,9,8,29,8,33
302,9,6,28,11,8,9,6,19,28,29,33
303,11,11,8,40,9,19,29,28,6,8,33
304,29,11,6,9,28,9,11,28,29,8,33
305,6,6,11,9,29,9,11,8,6,40,33
306,28,11,29,11,6,8,19,29,28,9,33
307,40,9,29,11,28,8,6,19,29,40,33
308,9,9,11,29,11,9,29,6,28,19,33
309,8,40,9,6,11,28,6,29,28,19,33
310,11,9,29,28,9,6,8,11,28,9,33
311,11,6,8,29,40,8,6,28,11,29,33
312,11,28,9,29,6,19,8,8,28,9,33
313,11,6,29,28,8,6,19,29,6,8,33
314,6,28,29,11,8,19,9,9,11,6,33
315,8,29,28,40,28,8,9,29,11,6,33
316,19,9,6,28,8,29,11,11,6,28,33
317,8,9,40,19,8,19,40,11,9,29,33
318,6,28,8,9,6,11,29,6,8,11,33
319,9,28,8,40,6,9,29,11,28,6,33
320,29,8,40,11,9,8,6,9,6,11,33
321,19,11,6,8,28,29,9,29,6,28,33
322,11,9,40,40,9,28,29,150,11,9,33
323,6,8,19,40,9,11,29,6,28,8,33
324,8,29,28,8,9,11,6,40,19,29,33
325,95,4,110,21,21,39,4,296,25,7,33
326,4,25,25,7,25,4,50,39,25,25,33
327,34,25,30,38,63,34,49,38,78,182,33
328,66,34,90,98,58,30,87,98,18,3,33
329,58,118,71,22,10,30,3,71,10,17,33
330,30,3,5,96,39,17,73,14,17,44,33
331,76,56,17,44,17,103,73,98,79,75,33
332,12,12,12,60,24,24,12,44,39,353,33
333,73,14,10,141,12,53,24,12,141,125,33
334,97,17,51,86,86,51,83,51,24,141,33
335,24,12,53,106,39,25,25,39,25,25,33
336,1,1,25,82,1,380,49,21,25,1,33
337,433,82,496,333,212,316,493,22,18,391,33
338,380,251,380,462,462,620,623,4,1,251,33
339,1,4,21,23,1,94,4,23,23,4,33
340,246,246,4,100,4,3,225,246,4,23,33
341,4,225,23,39,50,25,25,25,364,323,33
342,152,133,157,259,304,265,221,453,306,456,33
343,613,152,306,287,13,133,221,49,3,10,33
344,18,7,152,10,364,287,22,134,440,377,33
345,7,173,3,134,13,46,14,377,14,7,33
346,46,134,32,152,20,221,133,441,173,306,33
347,265,456,221,259,441,3,304,453,323,221,33
348,133,134,13,10,287,364,173,377,18,7,33
349,22,134,13,3,13,14,173,14,113,113,33
350,25,25,646,304,133,25,25,658,25,25,33
351,450,450,25,601,25,468,25,363,255,178,33
352,487,671,569,573,178,427,484,178,405,178,33
353,194,1,343,223,196,406,4,178,468,178,33
354,343,1,196,406,194,223,4,405,484,178,33
355,427,621,670,343,25,25,67,64,92,64,33
356,123,67,64,64,67,67,92,67,92,655,33
357,67,39,25,25,145,383,436,25,1,145,33
358,1,22,18,3,145,7,46,4,145,7,33
359,3,46,145,1,18,22,3,3,18,145,33
360,1,22,3,3,145,1,145,3,22,18,33
361,145,1,18,3,22,3,145,3,1,22,33
362,3,18,3,7,39,25,25,113,113,25,33
363,113,113,25,113,25,25,25,133,598,654,33
364,376,25,220,376,376,283,39,25,25,375,33
365,375,375,25,25,302,302,302,675,25,460,33
366,350,25,350,479,479,460,350,473,25,189,33
367,317,189,473,25,25,113,25,25,314,133,33
368,25,394,390,332,314,133,385,25,236,236,33
369,556,323,21,133,390,586,49,7,18,3,33
370,22,10,46,236,385,14,236,513,157,7,33
371,46,508,236,513,157,157,14,3,508,25,33
372,314,113,394,25,25,1,1,57,57,57,33
373,57,57,4,1,57,4,57,57,57,57,33
374,57,57,57,57,57,57,57,57,25,57,33
375,57,57,57,57,57,57,57,4,39,1,33
376,628,1,470,470,50,50,50,110,95,4,33
377,21,39,21,4,1,1,4,7,1,1,33
378,7,34,1,4,30,63,34,38,78,30,33
379,87,58,55,34,66,38,88,88,66,10,33
380,90,88,90,49,30,22,10,10,3,18,33
381,58,87,17,3,34,118,30,103,3,10,33
382,71,55,3,55,14,73,5,96,39,17,33
383,17,44,56,73,14,10,44,76,16,17,33
384,17,79,75,60,12,24,24,12,44,53,33
385,12,5,5,97,17,86,5,51,16,5,33
386,5,51,5,5,5,5,5,5,5,5,33
387,5,5,5,5,5,5,5,83,5,5,33
388,24,5,5,5,16,5,5,55,24,51,33
389,25,296,25,24,16,53,106,25,39,25,33
390,25,113,113,25,25,25,25,113,113,25,33
391,113,113,25,25,562,523,25,50,95,4,33
392,21,110,39,21,4,76,56,39,1,4,33
393,7,4,7,57,1,57,57,57,57,1,33
394,63,1,30,34,88,49,90,34,63,78,33
395,87,38,66,30,58,55,18,22,118,10,33
396,58,88,88,10,30,17,71,3,103,55,33
397,30,10,3,71,14,73,73,10,14,5,33
398,5,5,5,5,5,5,5,5,16,5,33
399,5,5,55,5,5,5,16,5,5,5,33
400,5,5,5,96,4,39,17,17,44,44,33
401,17,17,60,24,79,12,38,44,24,75,33
402,38,5,12,60,5,12,12,53,24,97,33
403,17,51,86,86,51,83,106,53,24,16,33
404,12,495,344,138,16,142,12,24,24,24,33
405,24,38,5,142,184,24,5,12,24,75,33
406,12,51,17,184,51,12,83,106,24,60,33
407,184,53,17,184,51,86,12,86,16,83,33
408,24,24,16,184,106,5,39,96,184,51,33
409,17,79,12,24,60,24,44,17,51,86,33
410,83,86,106,12,12,24,16,24,16,5,33
411,5,16,24,12,142,16,60,16,30,58,33
412,66,78,63,34,18,49,55,88,58,22,33
413,30,71,3,55,17,3,10,30,103,14,33
414,142,16,146,10,16,16,16,16,16,16,33
415,16,16,16,30,30,34,63,78,55,88,33
416,38,146,10,66,34,58,87,30,49,55,33
417,22,18,3,58,55,71,3,14,16,16,33
418,16,10,16,16,16,16,16,16,16,16,33
419,16,16,16,30,16,34,30,63,88,55,33
420,34,78,10,88,10,146,71,66,34,55,33
421,58,49,30,18,22,58,3,3,3,14,33
422,16,16,10,16,16,16,16,16,1,93,33
423,4,46,168,1,198,190,4,16,46,168,33
424,198,190,7,93,291,140,4,93,7,140,33
425,291,270,93,46,93,270,33,16,93,93,33
426,140,7,16,30,30,63,34,78,55,10,33
427,88,10,87,66,34,58,146,18,30,22,33
428,71,58,3,55,3,3,14,16,16,10,33
429,16,16,16,16,16,16,16,16,16,30,33
430,30,34,63,78,34,55,88,58,66,10,33
431,71,146,34,18,22,30,58,49,55,3,33
432,3,3,14,16,16,10,16,16,16,16,33
433,16,16,16,16,16,30,16,30,34,63,33
434,78,34,10,88,55,87,10,146,58,30,33
435,66,34,55,22,49,10,3,18,3,58,33
436,3,14,16,16,16,10,16,16,33,16,33
437,12,138,511,138,138,16,5,5,16,24,33
438,428,12,16,16,95,4,21,110,21,39,33
439,4,76,56,95,4,21,116,21,39,1,33
440,1,7,4,1,7,4,30,34,1,63,33
441,90,66,87,182,34,78,38,63,30,58,33
442,22,58,71,49,10,90,18,30,71,17,33
443,10,118,3,5,96,98,10,39,30,17,33
444,3,17,44,44,17,17,75,24,79,24,33
445,12,12,44,60,103,12,53,12,97,24,33
446,17,86,51,51,83,258,512,5,60,24,33
447,5,5,428,5,5,5,5,5,5,5,33
448,5,5,5,5,5,5,5,5,5,5,33
449,24,53,56,24,106,60,98,51,584,393,33
450,393,497,497,522,100,684,398,1,4,7,33
451,1,1,528,4,7,17,1,17,44,44,33
452,17,17,79,12,162,162,499,60,12,53,33
453,12,97,162,17,138,86,51,83,106,511,33
454,53,162,142,86,1,86,12,162,626,162,33
455,162,51,51,499,17,12,86,339,51,162,33
456,125,44,95,4,110,21,116,39,21,4,33
457,1,4,1,4,1,21,39,76,56,39,33
458,229,307,17,17,44,44,17,17,17,44,33
459,79,60,45,45,44,12,45,53,12,75,33
460,60,97,17,51,45,86,51,83,45,53,33
461,45,45,39,1,7,1,7,43,1,21,33
462,43,3,186,43,7,186,43,7,106,7,33
463,43,7,3,43,186,46,3,186,43,46,33
464,7,7,43,186,43,43,3,43,43,3,33
465,43,43,43,3,7,43,3,43,43,275,33
466,47,7,43,3,159,238,36,159,36,36,33
467,43,36,7,43,43,47,43,3,36,36,33
468,36,159,36,36,36,43,7,36,159,238,33
469,36,238,36,159,36,36,36,36,43,238,33
470,159,159,238,36,36,36,43,186,43,43,33
471,3,43,43,3,43,43,47,7,43,275,33
472,43,43,3,43,43,43,43,43,43,36,33
473,43,43,47,275,3,43,36,36,36,43,33
474,275,47,7,43,3,43,47,43,7,43,33
475,3,43,36,36,36,43,43,3,47,43,33
476,36,36,47,43,43,3,36,36,43,43,33
477,3,43,47,7,43,3,43,36,36,36,33
478,159,36,7,39,43,1,1,301,1,301,33
479,301,180,180,12,45,33,33,33,33,75,33
480,17,33,45,125,51,339,4,149,149,149,33
481,149,135,341,261,135,39,180,180,180,180,33
482,180,50,95,4,21,21,39,110,4,149,33
483,341,135,261,135,77,77,77,77,77,135,33
484,77,135,39,56,76,258,77,77,77,77,33
485,135,261,64,4,67,39,64,123,92,92,33
486,67,64,77,77,77,77,77,77,135,261,33
487,135,335,39,4,335,335,77,77,77,77,33
488,77,77,77,77,77,77,77,135,39,262,33
489,21,262,4,206,262,262,4,1,1,1,33
490,1,7,4,56,76,1,4,7,1,10,33
491,10,73,73,14,73,10,14,16,14,16,33
492,10,73,13,32,14,10,4,32,32,116,33
493,14,10,13,10,14,20,20,2,13,52,33
494,52,2,52,2,2,52,2,2,52,52,33
495,2,14,52,20,20,2,16,10,20,2,33
496,2,20,32,20,2,13,10,14,3,10,33
497,14,14,10,582,16,14,16,10,1,1,33
498,4,7,69,7,4,1,69,69,69,69,33
499,69,69,69,1,1,4,7,1,4,1,33
500,7,1,305,210,210,73,454,143,10,49,33
501,10,248,7,251,143,46,292,14,46,7,33
502,210,251,251,210,183,183,14,18,210,22,33
503,3,183,210,1,1,191,424,327,1,191,33
504,49,22,424,18,436,191,409,7,3,409,33
505,191,21,191,191,535,287,3,420,46,7,33
506,173,14,3,420,4,173,56,4,1,1,33
507,4,7,7,4,1,32,35,13,72,32,33
508,2,72,7,20,32,4,13,32,20,13,33
509,7,13,13,648,579,35,13,76,56,2,33
510,2,35,2,35,35,2,2,2,2,2,33
511,100,32,1,1,1,194,21,202,305,102,33
512,207,194,352,102,202,102,102,102,102,102,33
513,102,102,102,227,102,207,227,227,1,1,33
514,1,234,1,234,1,625,21,592,678,502,33
515,234,1,234,234,1,502,1,1,181,68,33
516,181,68,181,68,181,68,181,68,68,181,33
517,68,68,68,181,68,68,68,196,68,68,33
518,68,223,68,196,68,68,68,68,68,68,33
519,68,68,68,10,14,73,68,16,14,68,33
520,73,16,73,10,68,68,68,68,68,68,33
521,611,76,640,370,370,370,1,1,65,65,33
522,1,1,1,397,3,1,7,397,4,321,33
523,7,46,10,49,321,7,10,321,3,22,33
524,7,14,18,10,14,10,3,14,7,10,33
525,3,4,1,10,7,1,65,328,1,1,33
526,328,21,21,328,676,1,65,557,1,1,33
527,65,1,35,32,667,2,13,35,72,32,33
528,72,1,20,35,13,2,32,35,20,13,33
529,2,35,2,35,2,35,20,35,35,2,33
530,35,35,2,35,20,35,35,2,2,7,33
531,2,35,35,2,2,35,35,2,35,35,33
532,2,35,35,2,35,35,13,35,2,13,33
533,32,20,1,1,69,1,69,69,69,69,33
534,69,69,69,1,34,30,1,63,78,38,33
535,34,34,30,87,182,10,58,38,66,90,33
536,17,87,66,30,49,71,22,90,3,10,33
537,71,118,58,3,5,5,96,17,17,44,33
538,17,17,44,79,38,60,45,38,44,45,33
539,12,5,60,75,5,53,12,97,17,106,33
540,83,51,45,53,86,12,53,45,38,86,33
541,45,38,45,45,5,5,5,5,5,5,33
542,5,5,5,45,45,5,45,5,5,5,33
543,5,5,5,5,12,98,12,45,45,33,33
544,33,12,45,33,12,33,45,33,33,33,33
545,33,102,207,352,227,227,51,459,1,7,33
546,4,7,1,4,1,56,1,7,21,4,33
547,1,30,34,4,7,21,63,38,34,87,33
548,288,78,58,263,10,66,66,10,22,3,33
549,49,18,10,17,103,30,87,90,66,34,33
550,71,10,118,58,3,71,14,71,73,5,33
551,73,14,96,17,17,10,44,44,16,16,33
552,56,17,17,79,45,44,60,45,38,12,33
553,60,142,75,12,5,12,53,12,97,51,33
554,51,53,5,83,16,354,638,41,3,22,33
555,158,49,354,18,354,54,223,281,41,196,33
556,41,54,125,3,54,41,3,16,41,54,33
557,54,41,41,54,41,45,45,12,45,41,33
558,3,41,41,45,41,41,41,41,41,16,33
559,41,41,41,41,41,41,41,41,41,41,33
560,16,41,41,41,41,41,41,41,41,41,33
561,41,41,41,41,33,54,3,16,54,54,33
562,281,158,54,54,158,158,158,54,41,54,33
563,54,3,54,54,41,54,41,16,54,3,33
564,54,41,54,3,54,16,41,54,41,54,33
565,54,41,3,16,41,54,54,3,54,41,33
566,3,16,33,5,30,34,66,58,78,34,33
567,63,22,10,71,288,18,58,30,3,17,33
568,263,30,14,103,54,10,54,12,45,3,33
569,16,146,281,54,54,54,41,38,158,38,33
570,158,16,41,54,3,16,54,196,223,3,33
571,54,281,54,54,41,16,41,158,54,33,33
572,54,3,41,3,54,41,16,54,41,373,33
573,41,41,3,41,54,41,41,41,54,41,33
574,54,373,41,3,41,3,16,49,41,54,33
575,41,54,373,3,41,54,41,16,3,5,33
576,12,33,45,5,16,5,5,5,5,5,33
577,5,5,5,5,5,5,5,12,5,45,33
578,5,5,5,5,5,5,5,5,5,5,33
579,144,66,121,16,34,121,107,18,66,58,33
